time,Load,avg_p,avg_s1,max_d
8.1199999999999e-06,-18877.605317901,-150.10433596912,23.213991929305,0
8.1399999999999e-06,-19655.735115497,-156.29130322584,19.213306625466,0
8.1599999999999e-06,-20217.281591651,-160.75610311043,16.404756781032,0
8.1799999999999e-06,-20426.92269159,-162.42274910984,15.533239679106,0
8.1999999999999e-06,-20230.802404643,-160.86302969771,16.895187728335,0
8.2199999999999e-06,-19668.746947604,-156.39363643845,20.271331006608,0
8.2399999999999e-06,-18864.849779777,-150.00129512615,24.978534521948,0
8.2599999999999e-06,-17998.651223256,-143.1136001133,30.028455135998,0
8.2799999999999e-06,-17263.609203244,-137.26879908348,34.356153911242,0
8.2999999999999e-06,-16822.469254806,-133.76092581788,37.065772943873,0
