time,DJ,DJ1,DJ2,EW,FE,Fy_top,J,KE,PEW,SE,max_disp_y,preset_ext_power,preset_ext_work_p
44.75,0.062957156402557,0.072159280059548,-0.0092021236569913,0.0012125085565155,0.36958273202775,166.45446761777,0.066155730851663,0.23302965975496,0.49519638808932,0.34719655806685,0.0031097916942669,0,0
45,0.05783397795384,0.064893565184968,-0.0070595872311276,0.00097843203339282,0.36960950185908,171.26458271184,0.058611988223318,0.24770227786544,0.49519641161145,0.3306449136637,0.0031636066825835,0,0
45.25,0.054711893403884,0.06012084894109,-0.0054089555372062,0.00081383348946889,0.36963333281755,173.20953978481,0.053213433090084,0.26448770982171,0.4951963778075,0.31282149108041,0.0032043867510874,0,0
45.5,0.055523588286093,0.058949192591992,-0.0034256043058993,0.0007216217514511,0.36966522346634,171.44022455689,0.051904768307163,0.28205586042473,0.49519627429208,0.29434773408233,0.0032490009526061,0,0
45.75,0.057807161341427,0.05860211142133,-0.00079495007990335,0.00064636230088251,0.36969555833095,166.53154150869,0.05172897135331,0.30087282770488,0.49519609969881,0.27387602527338,0.003314256526277,0,0
46,0.059802143645568,0.058105314471444,0.0016968291741236,0.00051762769871463,0.36972019295421,159.47545519368,0.050826077764958,0.32192041307503,0.4951958606196,0.25100674611416,0.0033719452047574,0,0
46.25,0.055341586688801,0.05771235059593,-0.0023707639071293,0.00032279684979406,0.36974532401414,150.55104412403,0.049904266247766,0.34498125046428,0.4951955776024,0.22672593207162,0.0034124931732995,0,0
46.5,0.051869547800062,0.056947108421865,-0.0050775606218031,0.00010034709794851,0.36978467066658,138.82826341159,0.048730593595069,0.36830458999807,0.49519529108041,0.20363222215158,0.003431529955268,0,0
46.75,0.050378973693134,0.054492673603036,-0.0041136999099017,-0.00011775701551544,0.36985482194531,122.54293406186,0.046251371062551,0.38953623589142,0.49519505362886,0.18340361443257,0.0034387527173837,0,0
47,0.046991886698899,0.050357262525221,-0.0033653758263223,-0.00032062395654602,0.36996437967846,100.02032575095,0.043157419164811,0.40796366673272,0.49519490744212,0.16558985685504,0.0034389722633798,0,0
47.25,0.039787086871094,0.045610075654523,-0.005822988783429,-0.00049160852309846,0.37013067093351,70.531919624477,0.039837808423082,0.42454932823269,0.49519486236595,0.14937295885111,0.0034278476701749,0,0
